A,B,M,N
17,18,8,7
17,18,7,6
6,8,10,12
6,8,12,14
6,8,14,16
6,8,16,18
6,8,18,20
6,8,20,22
6,8,22,24
6,8,24,26
6,8,26,28
6,8,28,30
28,30,32,34
28,30,34,36
28,30,36,38
28,30,38,40
28,30,40,42
28,30,42,44
28,30,44,46
28,30,46,48
28,30,48,50
28,30,50,52
28,30,26,24
28,30,24,22
28,30,22,20
28,30,20,18
28,30,18,16
28,30,16,14
28,30,14,12
28,30,12,10
28,30,10,8
28,30,8,6
6,9,7,8
6,9,8,12
6,9,12,15
6,9,15,18
6,9,18,21
6,9,21,24
6,9,24,27
6,9,27,30
6,9,30,33
6,9,33,36
33,36,34,35
33,36,35,39
33,36,39,42
33,36,42,45
33,36,45,48
33,36,48,51
33,36,51,54
33,36,54,57
33,36,57,60
33,36,60,63
33,36,35,34
33,36,34,30
33,36,30,27
33,36,27,24
33,36,24,21
33,36,21,18
33,36,18,15
33,36,15,12
33,36,12,9
33,36,9,6
6,10,7,9
6,10,9,14
